indicator,tone,b_tone,se_tone,t_tone,p_tone,b_bill,t_bill,n,r2
dDXY,lex_net,-0.061118895386543394,0.05278124297925377,-1.157966200427808,0.24687782987136442,0.04018564215149912,2.9461698374678,69,0.07833859124073572
dDXY,fb_sent,0.06191931418919677,0.04340159454967198,1.426659891915532,0.1536779517584493,0.03240193115267567,2.3815993230301715,69,0.08064651846430115
dDXY,fb_sim,0.03529612670928501,0.04636049187879878,0.7613406432692825,0.4464536306677944,0.0331627222393531,2.3144985929743362,69,0.06876112642908883
d10s2s,lex_net,-0.7077595368797663,0.4703883369417797,-1.5046281578349725,0.13241970280224447,-0.3546162081752663,-2.33999021523895,69,0.11817314048792804
d10s2s,fb_sent,-1.2644117241957382,0.405302106410581,-3.119677159819293,0.0018104935163627235,-0.39041991272888227,-2.998875843893543,69,0.17095123471500417
d10s2s,fb_sim,-1.1370675144161801,0.43886917207145293,-2.5909031364614794,0.009572443069927057,-0.39490303511112523,-3.003831178002776,69,0.15697324668684076
dDGS1,lex_net,0.7652789514747896,0.6073809779364945,1.2599652924178413,0.2076818830103062,0.8573636491422274,3.7315284751860833,69,0.3173907652454645
dDGS1,fb_sent,0.3543383349838662,0.77858162879368,0.45510749532180905,0.6490319059715106,0.923849431637226,4.540373085288481,69,0.3057393916682327
dDGS1,fb_sim,0.5296831177568337,0.7605444483946283,0.6964525464289417,0.48614546540687564,0.919503168277321,4.551904739364402,69,0.3102959558240215
dGmV,lex_net,0.041243746801279776,0.13605206302245154,0.3031467945802017,0.7617779939897829,0.00801472530087841,0.19914050131034888,69,0.0022335589890005725
dGmV,fb_sent,0.0803549868390973,0.14331614541726825,0.5606834219908853,0.5750133705420817,0.009918159827694513,0.26827783511658915,69,0.00562725571953282
dGmV,fb_sim,0.19008684162745176,0.15331316660840943,1.239859862218939,0.2150272320532114,0.00707497689097062,0.19769988040497763,69,0.02602871102581461
