indicator,tone,b_tone,se_tone,t_tone,p_tone,b_bill,t_bill,n,r2
dDXY,lex_net,-0.02929158277137081,0.050566028239848855,-0.5792739471732409,0.5624043417635334,0.03716701221643294,2.7267402360134088,70,0.07743279374710221
dDXY,fb_sent,0.06933173769312409,0.047548652438433876,1.4581220315947967,0.14480690968155152,0.03156170535489156,2.13458634153949,70,0.09435687834813666
dDXY,fb_sim,0.07899147596373093,0.04743901559466347,1.6651162544911002,0.09588956443457192,0.03214564028079106,2.1472769985924383,70,0.10126087671173489
d10s2s,lex_net,0.29035220977251514,0.5494905881098185,0.5284025169044146,0.5972199909800795,-0.439896761085723,-3.533175415313218,70,0.10838412912912021
d10s2s,fb_sent,0.2836612243427271,0.636216312633311,0.445856572222501,0.6557008538948732,-0.4526289238362748,-3.6038156438270654,70,0.10801242933746857
d10s2s,fb_sim,-0.2049552680937392,0.7126254673824359,-0.28760587079011646,0.773648450442649,-0.42153734313561636,-3.194717039387756,70,0.10637722277160011
dDGS1,lex_net,-0.6749475975909682,0.5980249036869218,-1.128627910693694,0.2590548315215069,0.9181794284954538,4.68221432894547,70,0.3066800631707144
dDGS1,fb_sent,0.8941052747879619,0.5742076605545383,1.5571113661640876,0.11944404691971472,0.838501984957859,4.739713223742262,70,0.315688211951181
dDGS1,fb_sim,1.2955598280297091,0.6421465106137619,2.0175455392437103,0.043638613690826625,0.8309848406625067,4.897257927955518,70,0.34174232491402
dGmV,lex_net,0.06610841856792661,0.1476764737756659,0.4476570768364321,0.6544007038514901,0.01786888481108473,0.531058464433655,70,0.006182021330684906
dGmV,fb_sent,-0.21785503550134808,0.08907170901548438,-2.4458387282484475,0.01445156269543653,0.0348370441852427,1.1362490135507375,70,0.034150898285957965
dGmV,fb_sim,-0.11008703435052804,0.11918189896724826,-0.9236892120738944,0.35564815042456766,0.025495795803596247,0.7805778234700563,70,0.011283641710107872
